ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents   label   detailed-label
1526756262,C9YvmJ3zxtuqxWxLW5,192.168.2.5,38792,200.168.87.203,59353,tcp,-,2.998333,0,0,S0,-,-,0,S,3,180,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756269,CGsZqZ3UiQexLzPRVb,192.168.2.5,38792,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756273,C0LkBW2VEa292Nvet8,192.168.2.5,38793,200.168.87.203,59353,tcp,-,2.997182,0,0,S0,-,-,0,S,3,180,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756280,CMDLrn2cVhrqvW8gKa,192.168.2.5,38793,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756284,C2UM8f4knuL5Vnvp3h,192.168.2.5,38794,200.168.87.203,59353,tcp,-,2.996286,0,0,S0,-,-,0,S,3,180,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756291,CqARlF2BrZceWDkuq3,192.168.2.5,38794,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756295,CxD6FF457MH87WA2Ce,192.168.2.5,38795,200.168.87.203,59353,tcp,-,2.995263,0,0,S0,-,-,0,S,3,180,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756302,CXm8KI3aKQABqZDcI4,192.168.2.5,38795,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756306,CCvn4P1Z1MEiqTAP6,192.168.2.5,38796,200.168.87.203,59353,tcp,-,2.999262,0,0,S0,-,-,0,S,3,180,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756313,CXWZMM2K5lRQDNO2Dd,192.168.2.5,38796,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756317,C7NAoZ1GBUXpxV0sX,192.168.2.5,38797,200.168.87.203,59353,tcp,-,2.998315,0,0,S0,-,-,0,S,3,180,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756324,C8zmT04Y5NIOLxp0y,192.168.2.5,38797,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756328,Ch70sn1L7zuOI4Qnc,192.168.2.5,38798,200.168.87.203,59353,tcp,-,2.999395,0,0,S0,-,-,0,S,3,180,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756278,CuOSYz3QNAKPuLEOXg,192.168.2.5,123,78.108.102.237,123,udp,-,0.012703,48,48,SF,-,-,0,Dd,1,76,1,76,(empty)   Benign   -
1526756243,Cr32XW1idd6BFFTCq,192.168.2.5,123,37.157.198.150,123,udp,-,35.017664,288,288,SF,-,-,0,Dd,6,456,6,456,(empty)   Benign   -
1526756240,CKgbVy3cictQOsYd35,192.168.2.5,123,31.31.74.35,123,udp,-,38.01765,288,288,SF,-,-,0,Dd,6,456,6,456,(empty)   Benign   -
1526756335,CPcPPb4K5kp6Z2gSI9,192.168.2.5,38798,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756339,CybDP024wi5Iq5Jhyd,192.168.2.5,38799,200.168.87.203,59353,tcp,-,2.998379,0,0,S0,-,-,0,S,3,180,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756346,CNeCss2YsOS5604WD,192.168.2.5,38799,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756350,CIdU381sRHVZm4bGtf,192.168.2.5,38800,200.168.87.203,59353,tcp,-,2.997387,0,0,S0,-,-,0,S,3,180,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756357,C697miBqFCtDZyTG1,192.168.2.5,38800,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756361,C6JwHO3euZ1Qrjcrcd,192.168.2.5,38801,200.168.87.203,59353,tcp,-,2.996386,0,0,S0,-,-,0,S,3,180,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756240,CNchMr17HHBrWbVOp4,192.168.2.5,123,5.1.56.123,123,udp,-,68.014546,336,336,SF,-,-,0,Dd,7,532,7,532,(empty)   Benign   -
1526756368,Cnjezx9oSNY4sstO9,192.168.2.5,38801,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756372,CYqOP747oTCbjayNL,192.168.2.5,38802,200.168.87.203,59353,tcp,-,2.995237,0,0,S0,-,-,0,S,3,180,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756379,CQNuTx18INgMRCYJM8,192.168.2.5,38802,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756383,CMjiyb4HMf9vkKjJw3,192.168.2.5,38803,200.168.87.203,59353,tcp,-,2.994315,0,0,S0,-,-,0,S,3,180,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756390,CLDT01mb9aAEFYTu7,192.168.2.5,38803,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756394,Cj92Jg4YL0aHBJJsNk,192.168.2.5,38804,200.168.87.203,59353,tcp,-,2.993339,0,0,S0,-,-,0,S,3,180,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756342,Cid37b1b4SfLVyu7O3,192.168.2.5,123,31.31.74.35,123,udp,-,0.017674,48,48,SF,-,-,0,Dd,1,76,1,76,(empty)   Benign   -
1526756342,CDLt1YZGZSgjTMXka,192.168.2.5,123,78.108.102.237,123,udp,-,0.014011,48,48,SF,-,-,0,Dd,1,76,1,76,(empty)   Benign   -
1526756342,Cfp1l54uuvw21MSje5,192.168.2.5,123,37.157.198.150,123,udp,-,0.018252,48,48,SF,-,-,0,Dd,1,76,1,76,(empty)   Benign   -
1526756401,CYJge9DMRc6kPYXfh,192.168.2.5,38804,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
