ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents   label   detailed-label
1540469302.538640,CGm6jB4dXK71ZDWUDh,192.168.1.132,58687,216.239.35.4,123,udp,-,0.114184,48,48,SF,-,-,0,Dd,1,76,1,76,-   benign   -
1540469197.400159,CnaDAG3n5r8eiG4su2,192.168.1.132,1900,239.255.255.250,1900,udp,-,160.367579,7536,0,S0,-,-,0,D,24,8208,0,0,-   benign   -
1540469385.734089,CUrxU238nt0m6yTgKf,192.168.1.132,32893,216.239.35.8,123,udp,-,0.016986,48,48,SF,-,-,0,Dd,1,76,1,76,-   benign   -
1540469831.302625,CGQf8t1kjdxB5PHXL4,192.168.1.132,53395,2.16.60.82,443,tcp,-,0.003497,0,0,SF,-,-,0,ShAFf,5,212,3,144,-   benign   -
1540469831.265405,CUo9DH2QDnCaBIGjkg,192.168.1.132,52801,192.168.1.1,53,udp,dns,0.036724,34,311,SF,-,-,0,Dd,1,62,1,339,-   benign   -
1540469418.379528,CAvXOZ3htimWEtglii,192.168.1.132,1900,239.255.255.250,1900,udp,-,384.518261,15072,0,S0,-,-,0,D,48,16416,0,0,-   benign   -
1540470081.850824,CfJsUD2NGQvnK2p7Vd,192.168.1.132,58124,216.239.35.12,123,udp,-,0.270332,48,48,SF,-,-,0,Dd,1,76,1,76,-   benign   -
1540470187.222098,CVwKZS98dRvk1jeH2,192.168.1.132,35313,216.239.35.0,123,udp,-,0.111429,48,48,SF,-,-,0,Dd,1,76,1,76,-   benign   -
1540470355.430009,CzbHG4aoHRooWvyMg,192.168.1.132,46064,216.239.35.4,123,udp,-,0.114433,48,48,SF,-,-,0,Dd,1,76,1,76,-   benign   -
1540470419.608808,CbTB0B2ZnnDWLAIml3,192.168.1.132,45230,216.239.35.8,123,udp,-,0.016984,48,48,SF,-,-,0,Dd,1,76,1,76,-   benign   -
1540470731.346472,CKT1nF2pKxpwesvEtj,192.168.1.132,53396,2.16.60.82,443,tcp,-,0.003497,0,0,SF,-,-,0,ShAFf,4,172,2,92,-   benign   -
1540470731.305747,C2Lv0t2TFb4oOybzrh,192.168.1.132,48230,192.168.1.1,53,udp,dns,0.040227,34,311,SF,-,-,0,Dd,1,62,1,339,-   benign   -
1540471110.727073,CaBoMhYTG8hXEYKUl,192.168.1.132,49002,216.239.35.12,123,udp,-,0.270346,48,48,SF,-,-,0,Dd,1,76,1,76,-   benign   -
1540471275.097352,CNKSzj2AzuaCQBuSsj,192.168.1.132,46411,216.239.35.0,123,udp,-,0.109684,48,48,SF,-,-,0,Dd,1,76,1,76,-   benign   -
1540471418.303992,CQeo6C4faCIKjIhMM3,192.168.1.132,49057,216.239.35.4,123,udp,-,0.114426,48,48,SF,-,-,0,Dd,1,76,1,76,-   benign   -
1540471494.493815,CDoMg14pwYZ0Rylhf1,192.168.1.132,42282,216.239.35.8,123,udp,-,0.016980,48,48,SF,-,-,0,Dd,1,76,1,76,-   benign   -
1540469863.253209,CP01y62UX7tbTa1x39,192.168.1.132,1900,239.255.255.250,1900,udp,-,1633.044330,60288,0,S0,-,-,0,D,192,65664,0,0,-   benign   -
1540471631.533708,CAkyqq4QzwUJQDuxnc,192.168.1.132,56406,2.16.60.139,443,tcp,-,0.003498,0,0,SF,-,-,0,ShAFf,4,172,2,92,-   benign   -
1540471631.350066,C1NlJjzoaDWwde1ak,192.168.1.132,34110,192.168.1.1,53,udp,dns,0.183145,34,311,SF,-,-,0,Dd,1,62,1,339,-   benign   -
1540472191.611346,Cv5jrH2pHRn5GLjwy2,192.168.1.132,52937,216.239.35.12,123,udp,-,0.272344,48,48,SF,-,-,0,Dd,1,76,1,76,-   benign   -
1540472314.983162,Ce0eby5SunbIYssC6,192.168.1.132,53418,216.239.35.0,123,udp,-,0.109436,48,48,SF,-,-,0,Dd,1,76,1,76,-   benign   -
1540471557.061917,CAb9Gv4xgifq99dLkc,192.168.1.132,1900,239.255.255.250,1900,udp,-,766.048560,28260,0,S0,-,-,0,D,90,30780,0,0,-   benign   -
1540472384.714259,CYBsqO1jX0dBXEeQUi,192.168.1.132,1900,239.255.255.250,1900,udp,-,50.851218,3768,0,S0,-,-,0,D,12,4104,0,0,-   benign   -
1540472524.852647,C0wssT3JKSiAqhCZw,192.168.1.132,56806,52.209.221.67,80,tcp,http,0.088446,1847,1539,SF,-,-,0,ShADadtfF,7,2139,7,1823,-   benign   -
1540472524.944342,CZAnC51NxxuVdfhg28,192.168.1.132,60404,52.215.95.120,80,tcp,http,0.109187,1847,791,SF,-,-,0,ShADadfF,6,2099,6,1035,-   benign   -
1540472524.797195,CROWuH3A0maFhUNqHl,192.168.1.132,40730,192.168.1.1,53,udp,dns,0.050455,37,179,SF,-,-,0,Dd,1,65,1,207,-   benign   -
1540472524.848149,CpMGWx1WZnjO78jNT2,192.168.1.132,50152,192.168.1.1,53,udp,dns,0.003998,37,442,SF,-,-,0,Dd,1,65,1,470,-   benign   -
1540472524.942095,C6MXM823vAYEWDE1wi,192.168.1.132,42585,192.168.1.1,53,udp,dns,0.000499,37,100,SF,-,-,0,Dd,1,65,1,128,-   benign   -
1540472524.943343,C52U38ISU4nIzZmwd,192.168.1.132,49327,192.168.1.1,53,udp,dns,0.000500,37,132,SF,-,-,0,Dd,1,65,1,160,-   benign   -
1540472531.582530,C29JTF1UOZjbQoRx3,192.168.1.132,53406,2.16.60.82,443,tcp,-,0.003499,0,0,SF,-,-,0,ShAFaf,4,172,3,132,-   benign   -
1540472531.535825,CTtK543h1wuw8BOjx,192.168.1.132,41945,192.168.1.1,53,udp,dns,0.046210,34,297,SF,-,-,0,Dd,1,62,1,325,-   benign   -
1540472494.191783,CAOq8i3svbVXkWbZD3,192.168.1.132,60468,216.239.35.4,123,udp,-,0.114417,48,48,SF,-,-,0,Dd,1,76,1,76,-   benign   -
1540472539.348081,C3yNIb4bmZB9PGimj8,192.168.1.132,47872,216.239.35.8,123,udp,-,0.017238,48,48,SF,-,-,0,Dd,1,76,1,76,-   benign   -
1540472502.078251,CZa3qT1YOqrDnum2ud,192.168.1.132,1900,239.255.255.250,1900,udp,-,50.868027,3768,0,S0,-,-,0,D,12,4104,0,0,-   benign   -
1540473275.464119,C505sa1jNFFexpP6a3,192.168.1.132,40117,216.239.35.12,123,udp,-,0.269349,48,48,SF,-,-,0,Dd,1,76,1,76,-   benign   -
1540473431.620666,Cx8IgN3iIIlwEhtIg3,192.168.1.132,56414,2.16.60.139,443,tcp,-,0.003495,0,0,SF,-,-,0,ShAFf,5,212,3,144,-   benign   -
1540473431.583954,Cv2jEb1aOYScmCnL5g,192.168.1.132,44519,192.168.1.1,53,udp,dns,0.036214,34,311,SF,-,-,0,Dd,1,62,1,339,-   benign   -
1540472614.499427,C025uM1dmPB9pqTkP9,192.168.1.132,1900,239.255.255.250,1900,udp,-,1480.810378,52752,0,S0,-,-,0,D,168,57456,0,0,-   benign   -
